"año";"sector";"actividad";"subactividad";"categoria";"id_ipcc";"tipo_de_gas";"valor_en_toneladas_de_co2e"
"2008";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Equipo de transporte ";"1A2gii";"N2O";"0.00"
"2009";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Equipo de transporte ";"1A2gii";"N2O";"0.00"
"2010";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Equipo de transporte ";"1A2gii";"N2O";"0.00"
"2011";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Equipo de transporte ";"1A2gii";"N2O";"0.00"
"2012";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Equipo de transporte ";"1A2gii";"N2O";"0.00"
"2013";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Equipo de transporte ";"1A2gii";"N2O";"0.00"
"2014";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Equipo de transporte ";"1A2gii";"N2O";"0.00"
"2015";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Equipo de transporte ";"1A2gii";"N2O";"0.00"
"2016";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Equipo de transporte ";"1A2gii";"N2O";"0.00"
"2017";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Equipo de transporte ";"1A2gii";"N2O";"0.00"
"2018";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Equipo de transporte ";"1A2gii";"N2O";"0.00"
"2019";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Equipo de transporte ";"1A2gii";"N2O";"0.00"
"2020";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Equipo de transporte ";"1A2gii";"N2O";"0.00"
"2021";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Equipo de transporte ";"1A2gii";"N2O";"0.00"
"2022";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Equipo de transporte ";"1A2gii";"N2O";"0.00"
"1995";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.07"
"1996";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.07"
"1997";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.08"
"1998";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.08"
"1999";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.08"
"2000";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.09"
"2001";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.07"
"2002";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.08"
"2003";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.09"
"2004";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.08"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.06"
"2006";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.06"
"2007";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.06"
"2008";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.06"
"2009";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.06"
"2010";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.07"
"2011";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.06"
"2012";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.05"
"2013";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.05"
"2014";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.04"
"2015";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.04"
"2016";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.03"
"2017";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.03"
"2018";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.02"
"2019";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.02"
"2020";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.01"
"2021";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.01"
"2022";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CO2";"0.01"
"1995";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"1996";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"1997";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"1998";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"1999";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2000";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2001";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2002";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2003";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2004";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2006";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2007";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2008";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2009";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2010";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2011";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2012";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2013";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2014";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2015";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2016";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2017";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2018";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2019";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2020";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2021";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"2022";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"CH4";"0.00"
"1995";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"1996";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"1997";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"1998";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"1999";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2000";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2001";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2002";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2003";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2004";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2006";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2007";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2008";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2009";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2010";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2011";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2012";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2013";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2014";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2015";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2016";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2017";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2018";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2019";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2020";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2021";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"2022";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Madera y productos de madera ";"1A2giv";"N2O";"0.00"
"1995";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.16"
"1996";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.18"
"1997";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.23"
"1998";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.21"
"1999";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.17"
"2000";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.21"
"2001";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.22"
"2002";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.20"
"2003";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.24"
"2004";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.25"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.27"
"2006";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.28"
"2007";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.27"
"2008";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.26"
"2009";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.25"
"2010";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.27"
"2011";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.26"
"2012";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.26"
"2013";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.26"
"2014";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.25"
"2015";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.25"
"2016";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.22"
"2017";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.21"
"2018";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.19"
"2019";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.18"
"2020";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.14"
"2021";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.17"
"2022";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CO2";"0.18"
"1995";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"1996";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"1997";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"1998";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"1999";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2000";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2001";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2002";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2003";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2004";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2006";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2007";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2008";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2009";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2010";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2011";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2012";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2013";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2014";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2015";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2016";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2017";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2018";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2019";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2020";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2021";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"2022";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"CH4";"0.00"
"1995";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"1996";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"1997";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"1998";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"1999";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2000";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2001";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2002";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2003";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2004";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2006";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2007";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2008";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2009";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2010";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2011";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2012";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2013";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2014";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2015";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2016";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2017";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2018";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2019";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2020";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2021";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"2022";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Textiles y cuero ";"1A2gvi";"N2O";"0.00"
"1990";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Industria no especificada: ";"1A2gviii";"CO2";"16.41"
"1991";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Industria no especificada: ";"1A2gviii";"CO2";"14.54"
"1992";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Industria no especificada: ";"1A2gviii";"CO2";"15.98"
"1993";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Industria no especificada: ";"1A2gviii";"CO2";"14.58"
"1994";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Industria no especificada: ";"1A2gviii";"CO2";"16.87"
"1995";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Industria no especificada: ";"1A2gviii";"CO2";"6.10"
"1996";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Industria no especificada: ";"1A2gviii";"CO2";"6.13"
"1997";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Industria no especificada: ";"1A2gviii";"CO2";"6.06"
"1998";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Industria no especificada: ";"1A2gviii";"CO2";"6.15"
"1999";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Industria no especificada: ";"1A2gviii";"CO2";"5.62"
"2000";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Industria no especificada: ";"1A2gviii";"CO2";"5.99"
"2001";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Industria no especificada: ";"1A2gviii";"CO2";"6.21"
"2002";"Energía";"Actividades de quema de combustible ";"Industrias manufactureras y de la construcción ";"Industria no especificada: ";"1A2gviii";"CO2";"5.91"
