"año";"sector";"actividad";"subactividad";"categoria";"id_ipcc";"tipo_de_gas";"valor_en_toneladas_de_co2e"
"2004";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.01"
"2005";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.01"
"2006";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.02"
"2007";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.02"
"2008";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.03"
"2009";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.03"
"2010";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.04"
"2011";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.06"
"2012";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.06"
"2013";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.06"
"2014";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.07"
"2015";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.07"
"2016";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.08"
"2017";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.10"
"2018";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.11"
"2019";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.10"
"2020";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.07"
"2021";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.07"
"2022";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"CH4";"0.06"
"1990";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.02"
"1991";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.02"
"1992";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.02"
"1993";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.02"
"1994";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.02"
"1995";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Producción pública de electricidad y calor";"1A1a";"N2O";"0.02"
